frame_index,icon_c0_r0,icon_c0_r1,icon_c0_r2,icon_c1_r0,icon_c1_r1,icon_c1_r2,icon_c2_r0,icon_c2_r1,icon_c2_r2,icon_c3_r0,icon_c3_r1,icon_c3_r2,icon_c4_r0,icon_c4_r1,icon_c4_r2
96,2,7,7,6,6,4,0,0,3,0,0,0,6,6,6
97,6,4,4,7,7,0,1,1,4,0,0,0,6,6,2
98,2,2,7,2,5,5,2,4,4,4,6,6,5,5,6
99,5,6,6,4,4,4,0,0,3,4,6,6,6,6,1
100,4,2,2,6,4,4,1,1,1,0,0,0,3,3,3
101,4,4,2,0,0,0,2,4,4,6,0,0,3,3,3
102,4,2,2,4,4,4,2,2,2,6,6,0,6,6,2
103,0,0,0,0,0,2,2,2,4,4,4,6,1,1,1
104,7,7,7,7,7,0,7,0,0,3,3,0,5,5,6
105,4,4,2,4,4,4,3,7,7,5,5,5,7,3,3
106,5,5,6,0,2,2,3,3,3,5,5,4,2,4,4
107,2,2,2,7,7,7,2,2,2,2,5,5,2,2,4
108,5,5,6,1,7,7,6,6,5,3,3,5,0,5,5
109,3,3,0,2,2,5,3,3,3,2,2,4,4,4,3
110,7,7,7,6,4,4,1,1,1,2,5,5,1,1,2
111,7,7,7,2,2,5,1,4,4,6,0,0,1,1,7
112,5,5,5,2,2,5,3,3,7,3,3,3,1,1,1
113,4,4,1,6,4,4,1,1,1,6,1,1,2,0,0
114,0,0,0,2,2,2,6,6,6,5,5,5,6,6,6
115,7,7,7,3,3,6,0,0,0,2,4,4,4,4,6
116,4,1,1,0,0,3,3,7,7,3,0,0,3,0,0
117,2,2,7,5,5,6,1,1,1,2,2,2,3,4,4
118,7,7,7,1,7,7,7,7,7,0,0,2,6,6,6
119,3,3,4,0,2,2,1,1,1,3,3,0,5,5,5
120,0,5,5,1,5,5,6,5,5,1,1,3,0,1,1
121,2,2,2,2,2,5,0,0,2,1,1,3,3,4,4
122,4,2,2,7,0,0,6,6,6,4,4,6,3,4,4
123,5,6,6,0,0,2,2,4,4,6,6,6,3,3,3
124,6,4,4,4,4,4,2,2,4,5,5,4,3,3,3
125,3,4,4,4,1,1,1,1,1,7,7,3,2,0,0
126,2,7,7,2,2,2,0,0,2,1,1,2,0,0,1
127,4,1,1,6,6,1,6,6,5,3,5,5,5,5,5
128,0,0,3,4,4,4,6,6,6,4,6,6,3,3,3
129,2,2,2,0,2,2,5,5,5,0,1,1,5,5,5
130,7,7,7,0,2,2,4,4,4,0,0,1,3,0,0
131,2,2,2,4,4,4,5,5,0,0,2,2,4,4,6
132,4,4,2,6,6,1,4,5,5,3,3,3,3,0,0
133,3,3,3,1,7,7,4,5,5,6,6,1,2,2,0
134,5,5,5,5,5,6,3,3,3,6,6,6,3,3,3
135,1,1,1,4,1,1,0,3,3,2,5,5,5,6,6
136,0,0,5,3,6,6,5,5,5,3,3,3,3,3,4
137,1,1,1,1,1,5,3,7,7,5,4,4,3,0,0
138,7,7,0,2,5,5,5,0,0,5,5,5,6,2,2
139,4,4,1,0,3,3,3,3,3,1,1,3,3,3,4
140,2,2,2,0,3,3,0,3,3,5,5,7,0,0,0
141,5,5,6,5,5,0,4,6,6,5,5,5,0,5,5
142,1,3,3,7,7,0,2,2,4,6,6,6,6,1,1
143,5,5,5,4,4,4,5,5,1,4,4,4,0,0,0
144,5,5,6,7,7,0,1,1,4,0,1,1,3,3,3
145,5,5,6,4,1,1,6,6,5,1,1,1,1,2,2
146,0,0,5,1,7,7,0,0,3,6,6,0,2,2,0
147,4,2,2,5,5,0,3,3,3,3,5,5,0,1,1
148,0,0,5,0,3,3,0,0,0,7,3,3,4,4,4
149,7,7,7,5,6,6,0,0,2,6,6,1,1,2,2
150,4,4,4,3,3,3,0,0,0,2,2,4,5,6,6
151,4,4,4,2,5,5,2,2,2,5,5,5,3,3,4
152,0,0,3,5,5,5,0,0,3,7,7,7,2,2,0
153,4,2,2,6,6,6,3,3,3,3,3,3,0,1,1
154,4,4,1,6,6,1,2,2,2,7,7,7,4,4,6
155,2,7,7,0,3,3,0,0,0,6,6,0,1,1,7
156,2,2,2,2,2,5,2,2,2,5,4,4,1,7,7
157,5,5,6,5,5,5,3,3,3,6,6,0,0,1,1
158,3,3,4,1,1,7,2,2,2,7,7,7,4,4,6
159,7,7,7,6,1,1,2,2,4,7,3,3,2,2,4
160,4,4,1,1,1,1,6,6,5,3,0,0,0,0,0
161,5,5,5,3,6,6,2,4,4,0,0,0,0,0,0
162,2,2,2,5,5,5,2,2,2,4,6,6,2,2,4
163,0,5,5,3,3,3,6,6,6,6,6,6,4,4,3
164,6,6,6,5,5,0,1,1,4,1,1,1,6,6,6
165,1,1,1,1,1,5,3,3,3,5,5,7,5,5,6
166,3,3,0,5,0,0,5,0,0,7,7,3,1,1,1
167,6,6,4,0,3,3,7,7,7,4,6,6,5,5,6
168,1,1,1,5,5,0,0,0,2,3,5,5,4,4,4
169,5,5,6,1,1,7,2,2,2,0,0,0,5,6,6
170,6,6,6,7,7,0,3,3,3,5,7,7,5,6,6
171,3,3,3,1,5,5,5,5,0,3,0,0,2,2,0
172,5,5,6,0,2,2,6,6,6,5,5,5,0,5,5
173,0,0,5,2,2,5,3,3,3,4,4,4,2,2,2
174,5,5,5,1,1,7,7,7,7,0,2,2,6,2,2
175,6,6,6,0,0,0,1,1,1,5,5,5,4,4,6
176,2,2,2,3,3,3,5,5,1,2,2,2,4,6,6
177,2,7,7,0,0,3,0,0,0,4,6,6,3,3,3
178,0,0,5,2,5,5,1,1,1,7,7,7,4,4,4
179,4,1,1,6,6,6,6,6,5,3,3,5,0,0,0
180,6,4,4,2,2,2,6,5,5,5,5,7,6,2,2
181,5,5,5,1,1,5,1,1,1,5,4,4,4,4,4
182,3,3,0,1,1,5,4,5,5,2,2,2,6,6,1
183,0,3,3,0,0,0,3,3,3,2,2,5,0,5,5
184,5,5,5,3,3,3,1,4,4,4,4,4,5,5,6
185,0,0,3,6,4,4,5,1,1,6,0,0,7,3,3
186,2,2,7,6,6,4,5,0,0,1,3,3,3,3,3
187,3,0,0,0,2,2,3,3,3,0,2,2,5,5,6
188,3,0,0,3,3,3,4,4,6,6,6,1,0,0,5
189,3,3,4,0,2,2,1,1,1,3,5,5,1,1,2
190,2,7,7,4,1,1,5,5,0,3,3,0,3,4,4
191,4,4,4,7,7,0,1,1,1,2,5,5,1,1,2
192,0,3,3,4,4,4,3,3,3,6,6,0,4,4,4
193,1,3,3,4,1,1,2,2,4,7,7,3,3,3,3
194,3,0,0,4,4,4,1,1,4,6,0,0,0,0,0
195,3,3,0,1,1,7,7,7,0,3,3,3,6,2,2
196,4,4,1,0,2,2,5,5,5,4,4,6,1,7,7
