frame_index,icon_c0_r0,icon_c0_r1,icon_c0_r2,icon_c1_r0,icon_c1_r1,icon_c1_r2,icon_c2_r0,icon_c2_r1,icon_c2_r2,icon_c3_r0,icon_c3_r1,icon_c3_r2,icon_c4_r0,icon_c4_r1,icon_c4_r2
96,3,3,6,1,1,1,0,0,0,4,4,4,0,0,3
97,0,0,0,1,1,1,0,0,1,2,2,0,1,1,1
98,0,0,0,2,8,0,5,5,3,3,6,6,3,3,3
99,0,3,3,5,3,3,0,0,0,4,4,8,1,1,5
100,4,1,1,4,4,4,4,4,4,5,1,1,7,7,7
101,5,4,4,1,1,2,4,4,1,1,1,3,0,1,1
102,2,4,4,5,5,5,3,3,5,4,4,4,4,4,4
103,1,0,0,4,4,4,4,5,5,0,5,5,3,2,2
104,0,0,0,1,1,1,1,3,3,3,6,6,6,6,1
105,1,5,5,4,1,1,2,2,0,0,5,5,1,5,5
106,3,3,3,3,3,0,6,6,4,1,1,0,6,6,6
107,4,5,5,1,2,2,4,4,4,7,4,4,7,7,7
108,0,0,4,0,5,5,4,1,1,2,0,0,3,3,2
109,2,2,2,1,1,0,4,4,1,1,1,2,2,4,4
110,0,4,4,0,0,4,3,2,2,1,1,2,0,0,4
111,6,6,1,1,3,3,7,2,2,4,4,4,0,2,2
112,1,3,3,2,2,3,0,6,6,4,4,4,2,2,4
113,0,0,1,0,0,7,2,0,0,4,4,4,0,0,0
114,6,1,1,4,4,1,3,2,2,1,1,2,3,3,3
115,3,2,2,2,3,3,0,2,2,2,2,3,1,1,1
116,1,0,0,0,0,4,4,4,4,3,3,0,0,1,1
117,2,2,0,0,0,5,3,3,3,5,1,1,0,1,1
118,3,3,6,1,1,1,0,0,0,0,0,0,1,3,3
119,7,7,7,6,4,4,4,1,1,2,2,2,4,4,1
120,0,0,0,1,1,3,4,5,5,0,5,5,0,1,1
121,1,1,1,7,4,4,3,3,7,2,2,2,2,0,0
122,2,2,0,3,3,6,5,3,3,2,2,0,6,6,1
123,1,5,5,0,4,4,3,3,3,5,5,3,4,4,4
124,1,1,5,4,4,1,3,2,2,0,5,5,3,2,2
125,1,1,1,1,1,1,3,3,3,1,2,2,1,1,1
126,6,6,6,2,2,8,3,5,5,0,0,0,0,3,3
127,0,0,0,4,4,4,2,2,2,0,0,5,3,3,3
128,7,7,7,2,2,2,0,4,4,5,3,3,4,0,0
129,1,1,5,3,3,0,4,4,1,4,4,4,2,2,2
130,2,2,2,0,4,4,6,6,6,0,0,0,5,5,5
131,4,4,4,0,7,7,4,5,5,0,0,0,7,7,3
132,0,0,2,3,3,0,3,3,5,5,5,5,3,3,3
133,0,4,4,0,4,4,4,4,4,3,3,0,3,3,1
134,0,0,0,4,1,1,0,0,0,2,3,3,5,5,0
135,1,1,7,1,3,3,1,1,0,1,1,1,1,5,5
136,7,7,7,1,1,1,0,0,1,5,5,5,4,4,4
137,0,3,3,0,0,5,3,3,5,2,3,3,0,1,1
138,4,5,5,0,0,0,0,4,4,0,4,4,1,5,5
139,5,4,4,5,5,5,1,1,4,3,0,0,4,4,4
140,1,5,5,0,0,0,5,3,3,0,0,0,5,0,0
141,5,5,0,4,4,4,4,1,1,5,5,1,4,4,4
142,1,1,1,4,4,1,6,4,4,3,0,0,0,0,0
143,1,1,3,3,6,6,5,5,0,6,4,4,3,3,1
144,3,2,2,4,4,4,5,5,0,2,2,2,2,2,2
145,4,4,1,0,0,0,5,5,5,0,5,5,7,7,7
146,0,0,0,0,0,5,3,7,7,6,6,4,1,1,1
147,1,3,3,1,1,3,0,2,2,5,5,5,2,2,2
148,2,2,2,4,4,1,4,4,1,2,3,3,0,0,0
149,4,4,0,3,0,0,1,1,1,4,4,4,4,4,4
150,0,0,0,1,1,1,0,0,0,1,0,0,3,1,1
151,7,7,7,2,2,2,2,2,0,3,0,0,1,1,3
152,3,2,2,4,4,1,0,2,2,2,2,0,3,3,3
153,1,1,1,1,1,3,1,1,1,1,1,1,4,0,0
154,0,3,3,4,1,1,0,0,0,3,0,0,0,2,2
155,3,3,6,3,3,0,1,1,1,2,2,0,1,1,7
156,5,5,5,6,4,4,2,2,0,4,4,1,6,6,1
157,5,5,5,5,5,5,1,3,3,5,5,5,6,1,1
158,4,4,5,0,5,5,1,1,1,0,0,4,4,5,5
159,6,1,1,1,2,2,5,5,0,3,6,6,1,1,1
160,4,0,0,1,1,1,0,1,1,5,5,1,4,4,5
161,3,6,6,1,1,2,1,1,0,2,2,2,5,5,5
162,6,6,1,7,7,7,3,0,0,1,2,2,0,0,0
163,0,0,1,4,4,1,4,1,1,5,5,3,4,0,0
164,3,6,6,8,0,0,2,1,1,3,0,0,7,7,3
165,0,0,0,1,1,1,0,0,0,4,4,4,6,1,1
166,5,0,0,6,4,4,0,0,4,1,3,3,1,5,5
167,0,0,0,2,2,0,1,3,3,5,5,5,5,4,4
168,4,4,4,1,2,2,3,3,3,3,0,0,3,6,6
169,3,2,2,1,1,1,2,2,1,4,4,1,0,2,2
170,0,4,4,0,0,0,3,0,0,4,1,1,0,4,4
171,3,1,1,2,2,3,1,1,3,4,1,1,4,0,0
172,1,1,1,0,0,4,4,1,1,5,3,3,1,1,7
173,1,1,1,8,0,0,2,2,2,3,3,3,4,4,4
174,4,1,1,7,4,4,4,4,4,7,7,4,4,4,0
175,1,1,5,1,1,2,4,4,4,4,4,1,3,3,3
176,7,7,3,2,2,3,1,1,1,3,0,0,3,3,3
177,5,5,4,6,6,4,3,3,7,3,3,3,2,2,2
178,3,3,3,7,4,4,1,1,1,1,1,1,0,0,3
179,2,2,0,4,1,1,5,0,0,5,5,1,0,0,0
180,4,1,1,1,1,0,3,5,5,0,5,5,1,1,1
181,0,3,3,2,0,0,3,5,5,3,0,0,5,5,5
182,3,6,6,7,7,4,2,2,2,3,0,0,7,3,3
183,3,3,3,5,1,1,1,1,1,6,6,4,6,6,1
184,2,2,2,2,2,2,2,1,1,1,1,2,6,1,1
185,1,3,3,6,4,4,2,2,1,5,5,5,7,3,3
186,1,1,1,3,3,3,1,1,1,4,4,4,4,4,5
187,6,1,1,3,6,6,0,2,2,6,6,6,1,5,5
188,4,4,4,0,0,5,0,0,4,1,1,3,1,1,5
189,2,0,0,6,6,4,5,3,3,1,1,1,0,3,3
190,2,2,2,4,4,1,7,7,7,6,4,4,3,2,2
191,2,2,2,1,1,0,6,6,6,0,0,7,7,7,3
192,4,5,5,4,4,4,1,3,3,4,4,4,4,5,5
193,1,1,1,0,5,5,0,0,6,1,3,3,1,1,1
194,3,3,2,4,1,1,4,4,1,1,1,1,1,3,3
195,4,5,5,0,0,5,6,6,4,3,0,0,1,1,0
196,4,4,1,3,6,6,2,2,2,5,3,3,1,3,3
197,5,0,0,0,4,4,5,0,0,3,0,0,0,3,3
198,3,3,6,3,3,3,0,0,1,1,1,1,5,5,5
199,1,1,7,1,1,1,4,4,1,4,4,1,1,1,1
200,1,7,7,2,2,3,0,0,0,0,0,0,2,2,2
201,4,0,0,1,0,0,5,5,3,3,3,3,1,0,0
202,5,4,4,4,4,4,1,1,1,0,5,5,3,3,6
203,3,3,3,0,5,5,1,1,0,2,2,2,4,1,1
204,0,0,4,4,1,1,3,3,7,3,3,6,0,1,1
205,1,0,0,3,6,6,6,6,4,3,3,6,3,3,3
206,3,3,6,1,3,3,2,0,0,4,1,1,0,2,2
207,2,2,2,0,0,7,5,5,0,4,4,4,7,7,3
208,4,4,1,6,6,4,0,2,2,3,0,0,2,2,2
209,1,1,7,0,0,0,7,2,2,1,2,2,4,1,1
210,3,3,3,5,5,1,5,5,3,0,0,5,0,0,4
211,1,1,0,1,2,2,3,5,5,4,1,1,5,5,4
212,1,1,1,1,2,2,3,3,0,5,5,5,6,1,1
213,0,0,3,2,2,2,2,2,2,0,0,4,2,0,0
214,0,0,0,3,3,3,2,2,2,5,3,3,4,4,1
215,3,3,6,5,5,3,3,3,3,3,3,3,0,1,1
